typeof,name,address,comm,longitude,latitude,location
Community Centre,Wildwood Community Centre,4411 Spruce DR SW,WLD,-114.1508801,51.05188635,"(51.051886350376456, -114.15088014874473)"
Community Centre,Rosscarrock Community Centre,4411 10 AV SW,RCK,-114.1507529,51.04279765,"(51.04279764930228, -114.15075286617495)"
Attraction,Fish Creek Provincial Park (Learning Centre),13931 Woodpath RD SW,FPK,-114.1320962,50.92760031,"(50.92760030790942, -114.13209621831759)"
Visitor Info,Tourism Calgary Airport,2000 Airport RD NE,CIA,-114.0092457,51.13131007,"(51.13131007166948, -114.00924569013944)"
Library,Southwood Library,924 SOUTHLAND DR SW,SOW,-114.08618,50.96358656,"(50.96358655798522, -114.08617997642551)"
Community Centre,Ranchlands Community Centre,7713 Ranchview DR NW,RAN,-114.1795107,51.11959515,"(51.11959514517543, -114.17951073267321)"
Social Dev Ctr,West Area,2539 33 AV SW,CFC,-114.1238071,51.02323937,"(51.023239371972956, -114.12380714878877)"
Social Dev Ctr,North Area,905 30 AV NW,MOP,-114.0792565,51.07982299,"(51.0798229863009, -114.0792565329423)"
PHS Clinic,Sheldon M. Chumir Health Centre,1213 - 4 ST SW,BLN,-114.0721296,51.04116344,"(51.04116344159869, -114.07212956123551)"
Library,Quarry Park Library,108 Quarry Park RD SE,DDG,-114.0060594,50.96158778,"(50.96158777667302, -114.00605942056835)"
Community Centre,Ramsay Community Centre,1136 8 ST SE,RAM,-114.041143,51.03842577,"(51.03842577148743, -114.04114298429343)"
Community Centre,Chaparral Residents Association,225 CHAPARRAL DR SE,CHA,-114.0364196,50.88636251,"(50.88636251240058, -114.03641956715506)"
Community Centre,Marlborough Park Community Centre,6021 Madigan DR NE,MPK,-113.9424869,51.06004504,"(51.0600450440598, -113.94248694302783)"
Visitor Info,Tourism Calgary Central Office,200 238 11 AV SW,BLN,-114.0675212,51.0427492,"(51.0427491978594, -114.06752118869719)"
Visitor Info,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC,-114.0570556,51.04536904,"(51.04536904425736, -114.05705557152875)"
Community Centre,Cedarbrae Community Centre,11024 Oakfield DR SW,CED,-114.129881,50.95454752,"(50.9545475196074, -114.1298810146555)"
Community Centre,Parkdale Community Centre,3512 5 AV NW,PKD,-114.1368069,51.06051475,"(51.060514752049905, -114.13680689066544)"
Library,Shawnessy Library,333 SHAWVILLE BV SE,SHN,-114.063957,50.89803403,"(50.89803403456662, -114.06395702504017)"
Attraction,Contemporary Calgary Art Gallery,117 8 AV SW,DNC,-114.0641651,51.0454608,"(51.04546080414715, -114.06416513122672)"
Community Centre,Banff Trail Community Centre,2115 20 AV NW,BNF,-114.1089218,51.07030324,"(51.07030323975356, -114.10892182051344)"
Community Centre,St. Andrews Heights Community Centre,2504 13 AV NW,STA,-114.121361,51.06404099,"(51.06404098711891, -114.12136097042293)"
Community Centre,Shawnessy Community Centre,224 Shawmeadows RD SW,SHN,-114.0751574,50.90670901,"(50.90670901060858, -114.07515738296392)"
Community Centre,Lake Bonavista Downs Community Centre,1418 Lake Ontario RD SE,BDO,-114.0319163,50.94187315,"(50.941873148895105, -114.03191627422262)"
Community Centre,Cambrian Heights Community Centre,600 Northmount DR NW,CAM,-114.087382,51.08682876,"(51.086828755847634, -114.08738199941789)"
Community Centre,Mount Pleasant Community Centre,,MOP,-114.0743356,51.07275856,"(51.07275856371514, -114.0743356266661)"
Community Centre,Coach Hill/Patterson Heights Community Centre,60 Patterson BV SW,PAT,-114.1778466,51.06138085,"(51.0613808546056, -114.17784663152653)"
Community Centre,Woodcreek Community Centre,1991 Woodview DR SW,WOO,-114.1048706,50.9411119,"(50.941111899205765, -114.10487059728527)"
Community Centre,Bridgeland / Riverside Community Centre,917 Centre Av NE,BRD,-114.039942,51.05007404,"(51.050074042928564, -114.03994198208092)"
Library,Judith Umbach Library,6617 CENTRE ST N,HUN,-114.0639677,51.11187982,"(51.11187981745397, -114.06396773938215)"
Library,Forest Lawn Branch,4807 8 AV SE,FLN,-113.9652839,51.04480558,"(51.044805584747444, -113.96528388609507)"
Court,Alberta Provincial Court (Rural),# 401-S 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Attraction,Trans Canada Trail Pavillion,Bow River Pathway at 2 ST SW,DNC,-114.0661323,51.0536706,"(51.05367059958027, -114.06613232390751)"
Attraction,Calaway Park,Springbank RD & Trans Canada HWY,VAL,-114.2687425,51.08860104,"(51.08860103724747, -114.26874250057853)"
Community Centre,Renfrew Community Association,811 Radford RD NE,REN,-114.0447379,51.06018402,"(51.060184020846826, -114.04473790880562)"
Attraction,Grain Academy Museum,20 Roundup WY SE,BLN,-114.0569959,51.0387852,"(51.03878519868122, -114.05699586689883)"
Community Centre,Rosemont Community Centre,2807 10 ST NW,CAP,-114.0860375,51.07675296,"(51.076752962370186, -114.08603750615559)"
Attraction,Crossroads Market,1235 26 AV SE,AYB,-114.0346631,51.0304693,"(51.03046930455906, -114.0346630730894)"
Hospital,Foothills Hospital,1403 - 29 ST NW,STA,-114.1321766,51.06418294,"(51.064182937103176, -114.13217660430655)"
Community Centre,Lakeview Community Centre,6110 34 ST SW,LKV,-114.1361774,50.99835974,"(50.998359742341016, -114.13617740362398)"
Court,Alberta Court of Queens Bench,# 604-N 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Hospital,Peter Lougheed Medical Centre,3500 - 26 AV NE,SUN,-113.9839435,51.07901635,"(51.07901634932495, -113.98394351382268)"
PHS Clinic,Village Square Community Health Centre,2623 - 56 ST NE,PIN,-113.9535557,51.07553893,"(51.07553892796213, -113.95355569514419)"
Library,Seton Library,4995 MARKET ST SE,SET,-113.9441792,50.88118896,"(50.88118895884824, -113.94417916235368)"
Community Centre,Highwood Community Centre,16 Harlow AV NW,HIW,-114.0773512,51.09081185,"(51.09081185306712, -114.0773512197879)"
Library,Giuffre Family Library,3223 14 ST SW,SOC,-114.0955034,51.02544582,"(51.025445819741115, -114.09550344771091)"
Court,Alberta Provincial Court (Traffic),# 203-S 601 5 ST SW,DNC,-114.0741232,51.0469256,"(51.04692560365985, -114.074123212687)"
Community Centre,Rosedale Community Centre,901 11 AV NW,RDL,-114.0814341,51.06215285,"(51.06215284787542, -114.08143411839842)"
Community Centre,Crossroads Community Centre,1803 14 AV NE,MAL,-114.01913,51.06516302,"(51.06516302493362, -114.01913004295139)"
Library,Nose Hill Library,1530 NORTHMOUNT DR NW,BRE,-114.1388347,51.09654291,"(51.09654291244681, -114.13883468496591)"
Community Centre,Temple Community Centre,167 Templegreen RD NE,TEM,-113.9448539,51.08740934,"(51.087409341889156, -113.94485394505242)"
Community Centre,Elbow Park Community Centre,800 34 AV SW,EPK,-114.0821755,51.02346188,"(51.023461881343515, -114.08217549332538)"
Community Centre,Queensland / Diamond Cove Community Centre,649 Queensland DR SE,QLD,-114.0216631,50.93960081,"(50.93960080590387, -114.0216630923592)"
